name                           | color  | lambda (anonymous function)       | notes                                                            | | | | | | | | | | | github order number| xl order number
ObjectScript                   | #424893| yes                               |                                                                  | | | | | | | | | | |                 305|                
Objective-C++                  | #6866fb| yes                               |                                                                  | | | | | | | | | | |                 307|                
Objective-J                    | #ff0c5a| yes                               |                                                                  | | | | | | | | | | |                 308|                
Omgrofl                        | #cabbff| no                                |                                                                  | | | | | | | | | | |                 310|                
Opal                           | #f7ede0| yes                               |                                                                  | | | | | | | | | | |                 311|                
Open Policy Agent              | #7d9199| no                                |                                                                  | | | | | | | | | | |                 312|                
OpenCL                         | #ed2e2d| no                                |                                                                  | | | | | | | | | | |                 313|                
OpenEdge ABL                   | #5ce600| no                                |                                                                  | | | | | | | | | | |                 314|                
OpenQASM                       | #AA70FF| no                                |                                                                  | | | | | | | | | | |                 315|                
OpenSCAD                       | #e5cd45| no                                |                                                                  | | | | | | | | | | |                 316|                
OverPy                         | #78b355| no                                |                                                                  | | | | | | | | | | |                 317|                
OverpassQL                     | #cce2aa| no                                |                                                                  | | | | | | | | | | |                 318|                
Oxygene                        | #cdd0e3| yes                               |                                                                  | | | | | | | | | | |                 319|                
Oz                             | #fab738| yes                               |                                                                  | | | | | | | | | | |                 320|                
P4                             | #7055b5| no                                |                                                                  | | | | | | | | | | |                 321|                
PDDL                           | #0d00ff| no                                |                                                                  | | | | | | | | | | |                 322|                
PEG.js                         | #234d6b| no                                |                                                                  | | | | | | | | | | |                 323|                
PLSQL                          | #dad8d8| no                                |                                                                  | | | | | | | | | | |                 325|                
PLpgSQL                        | #336790| no                                |                                                                  | | | | | | | | | | |                 326|                
POV-Ray SDL                    | #6bac65| no                                |                                                                  | | | | | | | | | | |                 327|                
Pact                           | #F7A8B8| yes                               |                                                                  | | | | | | | | | | |                 328|                
Pan                            | #cc0000| no                                |                                                                  | | | | | | | | | | |                 329|                
Papyrus                        | #6600cc| no                                |                                                                  | | | | | | | | | | |                 330|                
Parrot                         | #f3ca0a| yes                               |                                                                  | | | | | | | | | | |                 331|                
Pascal                         | #E3F171| no                                |                                                                  | | | | | | | | | | |                 332|                
Pawn                           | #dbb284| no                                |                                                                  | | | | | | | | | | |                 333|                
Pep8                           | #C76F5B| no                                |                                                                  | | | | | | | | | | |                 334|                
PicoLisp                       | #6067af| yes                               |                                                                  | | | | | | | | | | |                 336|                
PigLatin                       | #fcd7de| no                                |                                                                  | | | | | | | | | | |                 337|                
Pkl                            | #6b9543| yes                               |                                                                  | | | | | | | | | | |                 339|                
PogoScript                     | #d80074| yes                               |                                                                  | | | | | | | | | | |                 340|                
Polar                          | #ae81ff| no                                |                                                                  | | | | | | | | | | |                 341|                
Portugol                       | #f8bd00| no                                |                                                                  | | | | | | | | | | |                 342|                
Power Query                    | #d38e0d| yes                               |                                                                  | | | | | | | | | | |                 343|                
PowerBuilder                   | #8f0f8d| no                                |                                                                  | | | | | | | | | | |                 344|                
Praat                          | #c8506d| no                                |                                                                  | | | | | | | | | | |                 346|                
Pro*C                          | #bb8368| no                                |                                                                  | | | | | | | | | | |                 347|                
Processing                     | #0096D8| yes                               |                                                                  | | | | | | | | | | |                 348|                
Procfile                       | #3B2F63| no                                |                                                                  | | | | | | | | | | |                 349|                
Prolog                         | #74283c| no                                |                                                                  | | | | | | | | | | |                 350|                
Promela                        | #de0000| no                                |                                                                  | | | | | | | | | | |                 351|                
Propeller Spin                 | #7fa2a7| no                                |                                                                  | | | | | | | | | | |                 352|                
Puppet                         | #302B6D| no                                |                                                                  | | | | | | | | | | |                 353|                
PureBasic                      | #5a6986| no                                |                                                                  | | | | | | | | | | |                 354|                
PureScript                     | #1D222D| yes                               |                                                                  | | | | | | | | | | |                 355|                
Pyret                          | #ee1e10| yes                               |                                                                  | | | | | | | | | | |                 356|                
Python console                 | #3572A5| yes                               |                                                                  | | | | | | | | | | |                 358|                
Q#                             | #fed659| yes                               |                                                                  | | | | | | | | | | |                 359|                
QML                            | #44a51c| yes                               |                                                                  | | | | | | | | | | |                 360|                
Qt Script                      | #00b841| yes                               |                                                                  | | | | | | | | | | |                 361|                
Quake                          | #882233| no                                |                                                                  | | | | | | | | | | |                 362|                
QuakeC                         | #975777| no                                |                                                                  | | | | | | | | | | |                 363|                
QuickBASIC                     | #008080| no                                |                                                                  | | | | | | | | | | |                 364|                
Quint                          | #9d6ce5| yes                               |                                                                  | | | | | | | | | | |                 365|                
RAScript                       | #2C97FA| no                                |                                                                  | | | | | | | | | | |                 367|                
REXX                           | #d90e09| no                                |                                                                  | | | | | | | | | | |                 368|                
RPGLE                          | #2BDE21| no                                |                                                                  | | | | | | | | | | |                 369|                
Racket                         | #3c5caa| yes                               |                                                                  | | | | | | | | | | |                 370|                
Ragel                          | #9d5200| no                                |                                                                  | | | | | | | | | | |                 371|                
Rascal                         | #fffaa0| yes                               |                                                                  | | | | | | | | | | |                 373|                
ReScript                       | #ed5051| yes                               |                                                                  | | | | | | | | | | |                 374|                
Reason                         | #ff5847| yes                               |                                                                  | | | | | | | | | | |                 375|                
ReasonLIGO                     | #ff5847| yes                               |                                                                  | | | | | | | | | | |                 376|                
Rebol                          | #358a5b| yes                               |                                                                  | | | | | | | | | | |                 377|                
Red                            | #f50000| yes                               |                                                                  | | | | | | | | | | |                 378|                
Redscript                      | #f44336| no                                |                                                                  | | | | | | | | | | |                 379|                
Ren'Py                         | #ff7f7f| yes                               |                                                                  | | | | | | | | | | |                 380|                
Rez                            | #FFDAB3| no                                |                                                                  | | | | | | | | | | |                 381|                
Ring                           | #2D54CB| yes                               |                                                                  | | | | | | | | | | |                 382|                
RobotFramework                 | #00c0b5| no                                |                                                                  | | | | | | | | | | |                 383|                
Roc                            | #7c38f5| yes                               |                                                                  | | | | | | | | | | |                 384|                
Rocq Prover                    | #d0b68c| no                                |                                                                  | | | | | | | | | | |                 385|                
Rouge                          | #cc0088| no                                |                                                                  | | | | | | | | | | |                 386|                
RouterOS Script                | #DE3941| no                                |                                                                  | | | | | | | | | | |                 387|                
SAS                            | #B34936| no                                |                                                                  | | | | | | | | | | |                 390|                
SIP                            | #4E8D83| no                                |                                                                  | | | | | | | | | | |                 391|                
SQF                            | #3F3F3F| no                                |                                                                  | | | | | | | | | | |                 392|                
SQLPL                          | #e38c00| no                                |                                                                  | | | | | | | | | | |                 393|                
Sail                           | #259dd5| no                                |                                                                  | | | | | | | | | | |                 394|                
Salt                           | #57bcad| no                                |                                                                  | | | | | | | | | | |                 395|                
Scenic                         | #fdc700| no                                |                                                                  | | | | | | | | | | |                 397|                
Scheme                         | #1e4aec| yes                               |                                                                  | | | | | | | | | | |                 398|                
Scilab                         | #ca0f21| no                                |                                                                  | | | | | | | | | | |                 399|                
Self                           | #0579aa| yes                               |                                                                  | | | | | | | | | | |                 400|                
ShaderLab                      | #222c37| no                                |                                                                  | | | | | | | | | | |                 401|                
Shell                          | #89e051| no                                |                                                                  | | | | | | | | | | |                 402|                
Shen                           | #120F14| yes                               |                                                                  | | | | | | | | | | |                 403|                
Singularity                    | #64E6AD| no                                |                                                                  | | | | | | | | | | |                 404|                
Slang                          | #1fbec9| yes                               |                                                                  | | | | | | | | | | |                 405|                
Slash                          | #007eff| yes                               |                                                                  | | | | | | | | | | |                 406|                
Slice                          | #003fa2| no                                |                                                                  | | | | | | | | | | |                 407|                
SmPL                           | #c94949| no                                |                                                                  | | | | | | | | | | |                 408|                
Smarty                         | #f0c040| no                                |                                                                  | | | | | | | | | | |                 410|                
Smithy                         | #c44536| no                                |                                                                  | | | | | | | | | | |                 411|                
Snakemake                      | #419179| no                                |                                                                  | | | | | | | | | | |                 412|                
Solidity                       | #AA6746| no                                |                                                                  | | | | | | | | | | |                 413|                
SourcePawn                     | #f69e1d| no                                |                                                                  | | | | | | | | | | |                 414|                
Squirrel                       | #800000| yes                               |                                                                  | | | | | | | | | | |                 415|                
Stan                           | #b2011d| no                                |                                                                  | | | | | | | | | | |                 416|                
Standard ML                    | #dc566d| yes                               |                                                                  | | | | | | | | | | |                 417|                
Starlark                       | #76d275| yes                               |                                                                  | | | | | | | | | | |                 418|                
Stata                          | #1a5f91| no                                |                                                                  | | | | | | | | | | |                 419|                
SuperCollider                  | #46390b| yes                               |                                                                  | | | | | | | | | | |                 420|                
SurrealQL                      | #ff00a0| no                                |                                                                  | | | | | | | | | | |                 421|                
Sway                           | #00F58C| yes                               |                                                                  | | | | | | | | | | |                 422|                
SystemVerilog                  | #DAE1C2| no                                |                                                                  | | | | | | | | | | |                 424|                
TI Program                     | #A0AA87| no                                |                                                                  | | | | | | | | | | |                 425|                
TL-Verilog                     | #C40023| no                                |                                                                  | | | | | | | | | | |                 426|                
TLA                            | #4b0079| no                                |                                                                  | | | | | | | | | | |                 427|                
TSQL                           | #e38c00| no                                |                                                                  | | | | | | | | | | |                 428|                
TSX                            | #3178c6| yes                               |                                                                  | | | | | | | | | | |                 429|                
TXL                            | #0178b8| no                                |                                                                  | | | | | | | | | | |                 430|                
Tact                           | #48b5ff| no                                |                                                                  | | | | | | | | | | |                 431|                
Talon                          | #333333| no                                |                                                                  | | | | | | | | | | |                 432|                
Teal                           | #00B1BC| yes                               |                                                                  | | | | | | | | | | |                 434|                
Terra                          | #00004c| yes                               |                                                                  | | | | | | | | | | |                 435|                
Thrift                         | #D12127| no                                |                                                                  | | | | | | | | | | |                 436|                
Toit                           | #c2c9fb| yes                               |                                                                  | | | | | | | | | | |                 437|                
Tolk                           | #30A1F5| no                                |                                                                  | | | | | | | | | | |                 438|                
Tree-sitter Query              | #8ea64c| no                                |                                                                  | | | | | | | | | | |                 439|                
Turing                         | #cf142b| no                                |                                                                  | | | | | | | | | | |                 440|                
TypeScript                     | #3178c6| yes                               |                                                                  | | | | | | | | | | |                 441|                
TypeSpec                       | #4A3665| no                                |                                                                  | | | | | | | | | | |                 442|                
Unified Parallel C             | #4e3617| no                                |                                                                  | | | | | | | | | | |                 444|                
Uno                            | #9933cc| no                                |                                                                  | | | | | | | | | | |                 445|                
UnrealScript                   | #a54c4d| no                                |                                                                  | | | | | | | | | | |                 446|                
Untyped Plutus Core            | #36adbd| no                                |                                                                  | | | | | | | | | | |                 447|                
UrWeb                          | #ccccee| yes                               |                                                                  | | | | | | | | | | |                 448|                
VBA                            | #867db1| no                                |                                                                  | | | | | | | | | | |                 450|                
VBScript                       | #15dcdc| no                                |                                                                  | | | | | | | | | | |                 451|                
VCL                            | #148AA8| no                                |                                                                  | | | | | | | | | | |                 452|                
VHDL                           | #adb2cb| no                                |                                                                  | | | | | | | | | | |                 453|                
Verilog                        | #b2b7f8| no                                |                                                                  | | | | | | | | | | |                 455|                
Verse                          | #518ef8| yes                               |                                                                  | | | | | | | | | | |                 456|                
Visual Basic 6.0               | #2c6353| no                                |                                                                  | | | | | | | | | | |                 459|                
Volt                           | #1F1F1F| yes                               |                                                                  | | | | | | | | | | |                 460|                
Vyper                          | #9F4CF2| no                                |                                                                  | | | | | | | | | | |                 461|                
WDL                            | #42f1f4| no                                |                                                                  | | | | | | | | | | |                 462|                
WGSL                           | #1a5e9a| no                                |                                                                  | | | | | | | | | | |                 463|                
WebAssembly                    | #04133b| no                                |                                                                  | | | | | | | | | | |                 464|                
Whiley                         | #d5c397| no                                |                                                                  | | | | | | | | | | |                 465|                
Witcher Script                 | #ff0000| no                                |                                                                  | | | | | | | | | | |                 466|                
Wollok                         | #a23738| no                                |                                                                  | | | | | | | | | | |                 468|                
X10                            | #4B6BEF| yes                               |                                                                  | | | | | | | | | | |                 470|                
XC                             | #99DA07| no                                |                                                                  | | | | | | | | | | |                 471|                
XQuery                         | #5232e7| no                                |                                                                  | | | | | | | | | | |                 472|                
XSLT                           | #EB8CEB| no                                |                                                                  | | | | | | | | | | |                 473|                
Xmake                          | #22a079| no                                |                                                                  | | | | | | | | | | |                 474|                
Xojo                           | #81bd41| no                                |                                                                  | | | | | | | | | | |                 475|                
Xonsh                          | #285EEF| yes                               |                                                                  | | | | | | | | | | |                 476|                
Xtend                          | #24255d| yes                               |                                                                  | | | | | | | | | | |                 477|                
YARA                           | #220000| no                                |                                                                  | | | | | | | | | | |                 478|                
Yacc                           | #4B6C4B| no                                |                                                                  | | | | | | | | | | |                 479|                
Yul                            | #794932| no                                |                                                                  | | | | | | | | | | |                 480|                
ZAP                            | #0d665e| no                                |                                                                  | | | | | | | | | | |                 481|                
ZIL                            | #dc75e5| no                                |                                                                  | | | | | | | | | | |                 482|                
ZenScript                      | #00BCD1| no                                |                                                                  | | | | | | | | | | |                 483|                
Zephir                         | #118f9e| yes                               |                                                                  | | | | | | | | | | |                 484|                
Zimpl                          | #d67711| no                                |                                                                  | | | | | | | | | | |                 486|                
eC                             | #913960| yes                               |                                                                  | | | | | | | | | | |                 487|                
fish                           | #4aae47| no                                |                                                                  | | | | | | | | | | |                 488|                
hoon                           | #00b171| yes                               |                                                                  | | | | | | | | | | |                 489|                
jq                             | #c7254e| no                                |                                                                  | | | | | | | | | | |                 490|                
mIRC Script                    | #3d57c3| no                                |                                                                  | | | | | | | | | | |                 491|                
mcfunction                     | #E22837| no                                |                                                                  | | | | | | | | | | |                 492|                
mupad                          | #244963| no                                |                                                                  | | | | | | | | | | |                 493|                
nesC                           | #94B0C7| no                                |                                                                  | | | | | | | | | | |                 494|                
ooc                            | #b0b77e| yes                               |                                                                  | | | | | | | | | | |                 495|                
q                              | #0040cd| yes                               |                                                                  | | | | | | | | | | |                 496|                
sed                            | #64b970| no                                |                                                                  | | | | | | | | | | |                 497|                
ucode                          | #00b8d4| yes                               |                                                                  | | | | | | | | | | |                 498|                
wisp                           | #7582D1| yes                               |                                                                  | | | | | | | | | | |                 499|                
xBase                          | #403a40| no                                |                                                                  | | | | | | | | | | |                 500|                
