name                           | color  | lambda (anonymous function)       | notes                                                            | | | | | | | | | | | github order number| xl order number
DenizenScript                  | #FBEE96| no                                |                                                                  | | | | | | | | | | |                 106|                
Dhall                          | #dfafff| yes                               |                                                                  | | | | | | | | | | |                 107|                
Dockerfile                     | #384d54| no, config                        |                                                                  | | | | | | | | | | |                 108|                
Dogescript                     | #cca760| yes                               |                                                                  | | | | | | | | | | |                 109|                
Dune                           | #89421e| no, build system                  |                                                                  | | | | | | | | | | |                 110|                
Dylan                          | #6c616e| yes                               |                                                                  | | | | | | | | | | |                 111|                
E                              | #ccce35| yes                               |                                                                  | | | | | | | | | | |                 112|                
ECL                            | #8a1267| no                                |                                                                  | | | | | | | | | | |                 113|                
ECLiPSe                        | #001d9d| yes                               |                                                                  | | | | | | | | | | |                 114|                
EQ                             | #a78649| no                                |                                                                  | | | | | | | | | | |                 115|                
Earthly                        | #2af0ff| no                                |                                                                  | | | | | | | | | | |                 116|                
EdgeQL                         | #31A7FF| no, query lang                    |                                                                  | | | | | | | | | | |                 117|                
Eiffel                         | #4d6977| yes                               |                                                                  | | | | | | | | | | |                 118|                
Elm                            | #60B5CC| yes                               |                                                                  | | | | | | | | | | |                 120|                
Elvish Transcript              | #55BB55| no                                |                                                                  | | | | | | | | | | |                 122|                
Emacs Lisp                     | #c065db| yes                               |                                                                  | | | | | | | | | | |                 123|                
EmberScript                    | #FFF4F3| yes                               |                                                                  | | | | | | | | | | |                 124|                
Euphoria                       | #FF790B| no                                |                                                                  | | | | | | | | | | |                 126|                
F#                             | #b845fc| yes                               |                                                                  | | | | | | | | | | |                 127|                
F*                             | #572e30| yes                               |                                                                  | | | | | | | | | | |                 128|                
FIRRTL                         | #2f632f| no                                |                                                                  | | | | | | | | | | |                 129|                
FLUX                           | #88ccff| no                                |                                                                  | | | | | | | | | | |                 130|                
FPP                            | #d37327| no                                |                                                                  | | | | | | | | | | |                 131|                
Factor                         | #636746| yes                               |                                                                  | | | | | | | | | | |                 132|                
Fancy                          | #7b9db4| yes                               |                                                                  | | | | | | | | | | |                 133|                
Fantom                         | #14253c| yes                               |                                                                  | | | | | | | | | | |                 134|                
Faust                          | #c37240| yes                               |                                                                  | | | | | | | | | | |                 135|                
Fennel                         | #fff3d7| yes                               |                                                                  | | | | | | | | | | |                 136|                
Filebench WML                  | #F6B900| no                                |                                                                  | | | | | | | | | | |                 137|                
